tracking_id,L027,L072,L078,L140,L102,L115,L133,L137,L149,L074,N048,N068,N090,N098,L005,L101,L062,L031
A1BG,4.43526,5.65784,3.18539,5.61407,6.76517,13.6235,1.57744,5.9994,1.64541,2.9118,5.90503,4.80408,4.22007,4.86138,6.08366,5.25329,2.62131,5.15539
A1BG-AS1,0.488185,0.503268,0.382777,1.58335,0.586863,0.494335,0.218729,0.577714,0.609716,0.376244,0.352573,0.72128,0.677991,0.522991,0.419846,0.435078,0.811181,0.480418
A1CF,0.00354756,0,0,0.00436121,0,0,0.00910552,0,0,0,0,0,0.00800574,0.00156208,0,0.00179612,0.00149947,0
A2M,0.0144313,0.0393481,0.041755,0.0383657,0.0103772,0.00744435,0.0986504,0,0.03271,0.0321567,0.0557589,0.00963083,0.0065069,0.00952848,0.0935888,0.00365341,0.00610305,0.13705
A2M-AS1,0.0723547,0.284632,0.147219,0.176793,0.46231,0.0910986,0.0959861,0.328818,0.252879,0.114684,0.138502,0.464825,0.108592,0.183522,0.108236,0.211378,0.224224,0.22442
A2ML1,0,0.0058535,0.0431189,0,0,0,0,0,0.00737688,0.00398551,0,0,0,0,0,0,0,0
A2MP1,0.0157985,0.0143132,0.045626,0.0638551,0,0.0162318,0.0134275,0.0156822,0.0922366,0.0281865,0.099817,0.0280897,0.0709565,0.069031,0.0163067,0.031877,0.0266697,0
A3GALT2,0,0,0,0.015416,0,0,0,0.0189508,0.0480272,0,0,0,0.0171674,0.0166858,0.0394381,0,0,0
A4GALT,0.0506323,0,0.0243983,0,0.0242629,0.00869186,0.0143909,0.0168323,0,0,0.0229496,0,0,0,0,0,0.021395,0.0942216
A4GNT,0,0,0,0,0.00971742,0,0,0.0101025,0,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,14.2883,11.8482,14.4135,16.363,14.3027,14.6655,14.4181,9.39713,13.9494,13.8061,9.55195,16.9599,9.63352,8.69155,9.1663,9.85488,13.4284,12.7835
AACS,5.57933,4.34535,4.87941,5.8495,5.20579,5.74786,3.73768,4.08716,4.02865,5.66033,2.8418,5.6633,2.82467,3.764,3.11643,5.01276,4.42674,4.61396
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0.00939476,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0.0273487,0,0.0241551,0,0,0,0,0.0769107,0,0.0271171,0,0,0,0,0,0.0510271,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0.0121168,0,0,0,0,0,0,0,0,0
AADAT,0.00835465,0,0,0,0.0721835,0,0,0.0166798,0.027705,0,0.0151577,0.00744212,0.0301274,0,0.0259833,0,0.00705901,0
AAED1,6.23609,7.70629,7.77199,2.6712,6.81606,5.39279,2.93919,9.76255,5.35378,7.32533,11.2736,5.02257,6.82265,9.52553,10.6286,7.13306,5.18578,7.76562
AAGAB,15.9482,13.4706,19.0347,9.85362,14.2043,18.8884,17.4877,10.5357,12.1142,17.3459,9.09374,13.0076,8.6605,8.61652,10.1387,13.3816,13.7433,17.0084
AAK1,5.78301,5.34406,3.73565,9.69267,5.09584,2.51056,3.82191,5.85972,7.85144,5.01628,5.58694,6.74438,10.5555,9.95739,6.90735,6.09236,7.33305,3.23051
AAMDC,7.15783,6.11589,7.33096,3.61892,5.84044,6.96833,5.4125,6.95441,4.2447,5.73351,3.07923,6.43565,3.26865,3.87401,5.00615,5.70714,4.00464,7.34018
AAMP,39.1761,31.4018,49.5671,27.6056,35.9326,45.463,46.7214,20.8228,29.2839,39.155,18.9264,36.8913,20.4234,22.8823,22.5845,24.0021,27.0697,30.6203
AANAT,0.0621974,0.0675931,0.0364035,0.194228,0.127788,0.0777474,0.258129,0.0374036,0.0677799,0.0498082,0.267613,0.00828062,0.119448,0.0827941,0.0982417,0.0380684,0.135282,0.0956009
AAR2,15.5714,17.0699,17.7411,15.0799,16.0979,13.0684,19.177,29.9192,14.7622,16.3834,42.4571,15.8342,30.3994,30.3516,40.0669,29.5265,14.9795,26.8029
AARD,0,0.0182302,0.106473,0.00816622,0.0192535,0,0.0342394,0.0100088,0.00833192,0,0.0636875,0.0536082,0.0904057,0.255479,0.0727643,0.0203057,0.0424383,0.0448573
AARS,25.4804,18.1819,19.5333,17.5591,17.4352,22.9403,25.116,7.99276,17.5545,26.4229,6.93027,22.4115,7.33221,7.19534,8.14444,9.10617,17.6776,19.4612
AARS2,2.33898,2.54656,2.23896,6.30557,2.66954,2.30103,3.71273,2.74359,4.41883,2.18474,2.71634,4.8365,3.63356,3.59056,1.82303,2.23721,4.17323,1.88454
AARSD1,17.6421,15.2276,16.3584,17.0355,17.2208,22.8761,17.2773,15.9323,12.2013,16.6511,11.5129,18.6725,10.6324,12.5063,12.4996,15.5564,16.9001,22.4533
AASDH,4.1291,3.97012,3.44557,4.41489,4.25783,3.92615,3.35033,3.37282,3.92205,3.37756,2.47223,5.92481,3.49823,3.69799,3.466,2.92541,5.28787,2.05557
AASDHPPT,15.6187,10.95,11.762,9.1703,12.1217,14.4811,11.472,12.9919,9.73093,12.6464,13.7418,10.9823,15.2723,15.2801,18.6973,13.5875,10.7676,13.6262
AASS,0.527452,0.793969,0.177793,0.988918,0.668874,0.251671,0.366013,0.692562,0.808097,0.381635,0.673175,0.534966,0.813396,0.434588,0.556306,0.3418,0.66927,0.34221
AATBC,0.0438329,0.142751,1.617,0.0717074,0.0175106,0.0226107,0.527472,0.0730836,0.313122,0.224644,0.0697341,0.162511,0.158107,0.135055,0.125072,0.0628802,0.18228,0.0122431
AATF,44.365,39.5859,48.3642,29.7354,36.7239,39.9189,46.2026,47.7731,32.9429,42.7466,25.4898,39.6603,25.1158,33.5953,33.7578,47.699,37.7938,47.6625
