,L140,L149,L062,N048,N068,N090,N098,L005,L027,L031,L072,L074,L078,L102,L115,L133,L137
AKR1B1,0.0178706719974,0.011751955,0.00950898202128,0.00762342,0.005534381646210001,0.011667528,0.0134443339338,0.00121670995225,0.00151516159648,0.0004893422369949999,0.003683579,0.0014874947608599998,0.000734335939026,0.00212860793451,0.000532854,0.00265775135395,0.006881186343930001
DDX31,0.00737708962066,0.009519197,0.0057630821963100005,0.0026312159999999996,0.00295676405434,0.004117915,0.00309033521891,0.0029267100279,0.0048124899182700005,0.00386787634568,0.00380932,0.00534971196472,0.004213952537340001,0.0031546935005599998,0.00444804,0.0044828926221499995,0.0020742742778499996
HNRNPUL1,0.00978578424691,0.006126025,0.00415285826159,0.0038338490000000003,0.00329259329789,0.006056744,0.006046103211739999,0.0017116060375499998,0.00146291178261,0.0007544184094489999,0.0020547829999999997,0.0011319290812000001,0.000962569312062,0.0010909059359600001,0.0011185239999999999,0.0014740132168500001,0.0031495403051999995
NUP188,0.0173506800069,0.017224211,0.0114091767819,0.008529896,0.00650979929833,0.014905058999999998,0.0147192321132,0.0030907073418200005,0.00226854050192,0.0008223299129860002,0.004839299,0.00144098943189,0.0015476116267699998,0.00208178092789,0.000854155,0.00215861522311,0.008032876772350001
GANAB,0.0229099255992,0.011980016999999999,0.011462456239,0.012552546999999999,0.0060718540873899995,0.01797318,0.021205230411900002,0.00141436521304,0.00161887707306,0.000257610156526,0.004658967,0.000985925904583,0.0008960704039930001,0.00170641188642,0.001028316,0.0019038587404699998,0.0086623731713
RCBTB2,0.0230640571332,0.022374368,0.0127100004427,0.016827633,0.013222697787799997,0.023600226000000002,0.032244369127,0.00983850789024,0.010461001161600002,0.00834130962584,0.010804678,0.00899172364349,0.00723645030651,0.008264645370229999,0.013353803000000001,0.010790525355700001,0.015818408057799997
TRAK1,0.0024647725775,0.001696043,0.0017501589634,0.00098215,0.00117497872748,0.001614965,0.0013505616001,0.000683497666416,0.00142405662075,0.0007771512584419999,0.001297714,0.00138347319796,0.0013446486471400002,0.00152302667759,0.000788383,0.00132958243793,0.00124843684849
C9orf114,0.167814913617,0.157497791,0.0871939818916,0.08014999,0.0479212284165,0.16603574599999998,0.141302424598,0.0235680383278,0.016271228282399998,0.006761035089989999,0.033395409,0.013201606329600001,0.010953006069,0.019517741026400002,0.007022481,0.0241710629873,0.062315218769500004
CLDND1,0.460945460562,0.398863611,0.307353632565,0.114898921,0.21094869247099998,0.22744279,0.23623633502799998,0.0238390044703,0.0588647781542,0.014655003823,0.135065335,0.0441373277998,0.0519500481997,0.0693446376658,0.029403931,0.051960130215999996,0.102833071346
RIOK3,0.0277479911583,0.021826368999999998,0.0151333918216,0.007574955,0.009712935107450001,0.013184965,0.0152333272986,0.0013382420761400002,0.00479072548138,0.00103681442597,0.008775725,0.004638493211689999,0.00302641381999,0.004288345533769999,0.0019143629999999999,0.0074612509601400005,0.0107261783537
C5orf45,0.191116966416,0.220770372,0.110608232246,0.081345351,0.0997922544268,0.140574316,0.11458725705499999,0.0261353510606,0.0280351827948,0.00865623801684,0.056137714000000005,0.020346971813,0.0167547583178,0.023791361608799997,0.00948736,0.0339818827749,0.05871473799330001
LPCAT1,0.0223377555242,0.013141698,0.0099249470418,0.01077506,0.0072687483561499995,0.020210248,0.017474959743,0.00322242029829,0.00240531832822,0.0008855927129310001,0.005107599,0.00213439364876,0.0012410480418599999,0.0032117772806500005,0.0018290670000000002,0.00289251168536,0.00813617560268
RAD18,0.00966830845104,0.004532249,0.00456737581234,0.008241426999999999,0.00238986092372,0.0071830209999999995,0.008741332814040001,0.00248011128738,0.00382237443561,0.0024970344879000003,0.00289809,0.0028237367355300005,0.00203164918869,0.0016775372219100001,0.0036040779999999997,0.0029507892467500003,0.00449416238867
RPS6KA4,0.0195154868238,0.014161132,0.00991402277161,0.003891902,0.00916400523406,0.011240732,0.010041413158,0.0013111316770999999,0.00262143542742,0.00097336075545,0.0035803479999999997,0.0018606077367699998,0.0014730726063099998,0.00184911549241,0.001316014,0.00310715525548,0.0035436200304199998
FAM118A,0.06482667563490001,0.045574258,0.0512090294318,0.06293710400000001,0.033584775618599995,0.077716037,0.0609052279868,0.008720725264149999,0.016196958248700002,0.045229710128,0.044272241,0.021812028527700002,0.020901942868099998,0.0058273914290699995,0.01799776,0.00781359166181,0.033451643569799995
SRSF7,0.4151803188800001,0.35211876299999995,0.337281552386,0.18732478800000002,0.21988812978,0.209908028,0.19381217922000002,0.09336583311249999,0.239682336389,0.0314391190438,0.27019307600000003,0.16457248789999998,0.0822525424444,0.165964585289,0.227405539,0.134799897479,0.226523907765
SGK223,0.12316839529,0.07561004,0.08979290403449999,0.141799036,0.0557324118406,0.125355883,0.106400053323,0.103986824919,0.031005049811800002,0.05923221510980001,0.09387796400000001,0.0497992270089,0.0593616020644,0.048645415685,0.039171866,0.0496918556333,0.09684687393300001
TMEM184B,0.0161058053317,0.011460181000000002,0.0108338549443,0.00917794,0.00735111413911,0.016582329,0.021166771655200003,0.00333336426783,0.00262064075464,0.0007672820938039999,0.00431241,0.00229571998406,0.0021471637351600003,0.00273005011946,0.00118245,0.00264827858506,0.0082605096347
CSNK1G2,0.00455427912171,0.005160985,0.00301802294502,0.004400105,0.0024454271695100002,0.008127332,0.011162824685799998,0.0009625249732519999,0.0008448534906350001,0.000548387563016,0.001535055,0.0007075799794500001,0.000620746461986,0.00062885774275,0.000274058,0.00117316306473,0.0019190045235799999
MT1F,0.00876590951714,0.008150985,0.0059738739822,0.00585768,0.0054136332437,0.004388886,0.00603112235037,0.000978210693258,0.0011493744779900001,0.00112754890291,0.00538553,0.00260501300983,0.0028880080766,0.0015546929328399998,0.0023738039999999998,0.0036635413301,0.00542819851588
LSM6,0.0296603091389,0.026543216,0.0116140353868,0.008910345,0.0065088707501899995,0.009214205999999999,0.0110414200597,0.00255686687719,0.0029289749509400003,0.00197661055557,0.009962206,0.00553221518089,0.0033323720387099997,0.00232056915428,0.00332502,0.0046469202884,0.00782300287891
ZNF140,0.0645449733211,0.049212464000000004,0.0316761877211,0.033267818,0.026894466021799998,0.052640864,0.033068933906,0.0114988108027,0.0172520475991,0.00852496128228,0.015729683,0.0119312396631,0.0115063216373,0.0151808562193,0.009845314,0.0170429343643,0.022706297877599996
NEMF,0.0294558170849,0.026595228999999998,0.0207865171696,0.021217865,0.0138629878568,0.031167173,0.026325079609500004,0.0135896634869,0.0122133563942,0.0147816741425,0.019843358000000002,0.012104670396200001,0.00884025079426,0.010731442162,0.012164488000000001,0.0123181582302,0.0202620512873
ADK,0.00136809845346,0.0011390719999999999,0.000727923548613,0.001011163,0.000633834201864,0.001067165,0.0010772934491199999,0.000495118715067,0.0013670286424200002,0.00018448813560499998,0.0005038309999999999,0.00034730003287300004,0.000301536882958,0.00035705378277099995,0.000283182,0.000345358313002,0.00077648267043
TAF8,0.0480533580994,0.046705837,0.0291929299537,0.030188863,0.0168990823897,0.032386852,0.034316020293900004,0.0192427366613,0.01365454142,0.041138920086300004,0.026164569,0.0121198491393,0.0193182197833,0.021970248004600002,0.021591566,0.027785335017400003,0.038830307442699996
LINC00959,0.0189736948632,0.02216065,0.0180776316314,0.0033064929999999998,0.007358263029040001,0.009854961,0.00733125583339,0.00161439319143,0.00448970030588,0.0028920561894,0.004405115,0.00324928122699,0.00392785486927,0.00384785523927,0.005110658,0.00525766500153,0.00641104893724
SUPT20H,0.0147753779815,0.013062898,0.0116448943605,0.010404287,0.00995029330735,0.018702331000000003,0.0155561909866,0.00713129002572,0.008230194357220002,0.006799542819609999,0.009302787,0.0071800011654399995,0.00587774000928,0.00710475326653,0.00487872,0.00509169289468,0.00818024954046
TBL1X,0.00629757454419,0.004726272,0.0040651224491800005,0.003029858,0.00130395970953,0.004663497,0.00618899682729,0.0013894426109100002,0.00326816566292,0.000817955966223,0.001879241,0.00106372880589,0.000861253771808,0.00124626885409,0.000820427,0.0025934297014,0.004172987247079999
LPGAT1,0.00549270725908,0.004928705,0.0023248821385,0.0029720470000000002,0.00178885593658,0.005750656,0.00354407197643,0.00148451214094,0.0018735081129100002,0.000574548730007,0.0010797060000000002,0.00118796221718,0.0009218480992480001,0.0014072160168599997,0.001190264,0.00178336193774,0.00175826823218
CD52,0.00950552576352,0.00912454,0.00722298205771,0.003412222,0.00752273611262,0.007608787,0.004877538668090001,0.0028382852761300002,0.0031621196706999996,0.00229345922006,0.00373439,0.00307601174608,0.00300847015763,0.00215409379523,0.001945901,0.00293977828262,0.00393851083752
ZADH2,0.107421325415,0.068827236,0.043899246326,0.030979138,0.04407300636530001,0.072917285,0.058516561266,0.012888957355599999,0.018658005267,0.00624739549268,0.022549154,0.012340894535700002,0.014363074191900001,0.0288703028864,0.01927456,0.0153254160446,0.0203858084261
ARSA,0.218860144317,0.23362407100000002,0.198853474678,0.083019857,0.09317857277529999,0.17075043399999998,0.126642581706,0.0184359782783,0.008174309021760001,0.0113341271504,0.046348546,0.0101800695657,0.0100896430303,0.0186187134775,0.014190081,0.015608718278999999,0.0324555715145
GPR137,0.0997113692745,0.171995448,0.0943899172976,0.168061858,0.0952437740277,0.226279576,0.227746356246,0.0467265542047,0.027386233184799998,0.0170569189615,0.059949471,0.0230209153812,0.0285180731409,0.0203516121725,0.023965498999999998,0.045702367538,0.075504600041
FGFR1,0.0189158516296,0.011423494,0.00872152773634,0.008647015,0.0044256998406300005,0.010683711,0.010661121451999999,0.00181955533256,0.0019394849310299998,0.000829579563163,0.004497472,0.0013217232753399998,0.0014938160563099999,0.00100954750343,0.000432641,0.00438168797416,0.00831955355454
SRPK2,0.00263488408538,0.0023428810000000002,0.00192222875918,0.001617983,0.00100173783439,0.002010708,0.00206277422106,0.00068274184838,0.00211033612338,0.0007424214422089999,0.001380068,0.0006279254452710001,0.0008278574616639999,0.000624357944928,0.000574297,0.0008721891397929999,0.00166666920399
TMEM123,0.0031984721623200003,0.001599215,0.00125713738834,0.000612431,0.000668247178382,0.0008590160000000001,0.0010211557251,0.000232706024344,0.0009156922893470001,0.000117655227638,0.000522393,0.0005691429627740001,0.000394162008726,0.000515845385156,0.000433203,0.00095879263982,0.0007871115898430001
ARHGEF1,0.0325936514921,0.030981806,0.0225780206998,0.010186721,0.0169425636815,0.021586057999999998,0.0182386052617,0.0037676961136400003,0.0048881972263699995,0.00320469843688,0.008312026,0.0046208661938100005,0.00382303087899,0.005305326343539999,0.004621188,0.00484778988376,0.00681229483728
MBD1,0.0520128404958,0.05274248,0.045545641578800006,0.044305632000000005,0.0260950451737,0.062766344,0.0680426793993,0.017485676827599998,0.0146307762094,0.00797319855577,0.02596026,0.010834948344399999,0.0113933467551,0.0123464045252,0.009932915,0.0134843741222,0.0342720539648
VBP1,0.0389347436035,0.016702883,0.0137897048795,0.010385844,0.00812071469921,0.018946199,0.012452499163299999,0.00348381013669,0.00413612091604,0.0005915586618109999,0.005763725,0.0020242512091700002,0.0024746009882600003,0.0037400986456300003,0.00128436,0.0033929240210200003,0.010613140619
PEX10,0.07279208787760001,0.074448208,0.0304142205003,0.058277695,0.031223458136499998,0.04981852,0.0403640626923,0.007048635042729999,0.00663148631638,0.00399642824796,0.021936712,0.00423549252753,0.0020891075963,0.00735099365474,0.006798939,0.011511560644200001,0.0273212826413
TMEM116,0.0318903710476,0.019914154,0.0140737095769,0.006432579,0.011724847581799999,0.012330225,0.0071649711459499995,0.00462532802201,0.005532241064319999,0.0037443620876300003,0.009050923,0.00581460792825,0.005213510613029999,0.0056651436107,0.003326832,0.004692408284060001,0.0072108444864399995
ELL,0.0073060824086300016,0.00619405,0.0072049866727,0.00262136,0.00420961718206,0.006362474,0.00434317297727,0.000595451145922,0.00234071942621,0.000336969499491,0.0024967929999999998,0.00109095207777,0.00166629684635,0.00114158901058,0.00180712,0.00103578625007,0.0025060126200999997
GRK6,0.015219260562200004,0.021242688,0.008154106377550001,0.014128637,0.00866964222492,0.019589621,0.019080709564599996,0.0036348059157399995,0.00422872955787,0.00149263223845,0.006002895,0.00424131129271,0.00348279273118,0.0037364626183800003,0.0033423359999999996,0.0038377656009600004,0.0073586761095699995
GMEB1,0.006610873859819999,0.006498949,0.00421735747509,0.001313594,0.00206971669127,0.00325961,0.0025868267770700003,0.0008826593969719999,0.0018621861319100001,0.000126000307969,0.001402766,0.0006987024038200001,0.00118300809489,0.000461822733005,0.000317999,0.0011694905644300002,0.00203195745495
ZNF431,0.0449985301342,0.033660696000000004,0.0219053731647,0.003825353,0.013681778670299998,0.009455295,0.006979928046640001,0.0016080493814000002,0.0098923957602,0.00142212830077,0.0070173909999999996,0.00539131971744,0.005367040274560001,0.00277417096491,0.002457789,0.004064878762130001,0.00735541997741
PNPLA2,0.21326760572,0.18581767600000001,0.157076334914,0.10100203099999999,0.0931083982356,0.15184361,0.15877569873800002,0.0159739681926,0.0205144905483,0.0075420040021999995,0.048397370999999995,0.019575521372599998,0.021667665230400004,0.022846807613499998,0.024410905,0.03713656173240001,0.07726813266049999
