,Eigenvector_value,L140_IRI,L149_IRI,L062_IRI,N048_IRI,N068_IRI,N090_IRI,N098_IRI,L005_IRI,L027_IRI,L031_IRI,L072_IRI,L074_IRI,L078_IRI,L102_IRI,L115_IRI,L133_IRI,L137_IRI
CHST11,-0.0010093890746028641,0.1560677780778027,-0.15024850523068964,-0.23156230477122866,-0.34140614955468435,-0.18038110223401982,-0.26679454082492327,-0.3497123150734505,-0.48993771881368114,3.7960054746318934,-0.4636285601678677,-0.30860246192976093,-0.3352162879077827,-0.0969516501465658,-0.244859858094317,0.08425447725347351,-0.2794852137451901,-0.2975410614690089
PHF20,-0.0030173050940538277,-0.1175201576249598,-0.18431441017691758,-0.4562723698076641,-0.05326135199312623,-0.5883574100555843,-0.17437352368285214,0.1678364085514601,1.9476388271948089,-0.48217295949393435,1.7774433838026718,-0.6251458794994458,-0.8149080345100176,-0.7697237225458924,-0.7958888060250067,2.261602619017721,-0.7671544069446032,-0.32542820620665813
PDE4D,-0.0024291951580538134,0.4708364760192927,0.176564090998482,0.30573949853968757,-1.0814094546717388,-1.0045166420288534,-0.8849943386213257,-0.8791708781641623,-1.0424050387075634,0.7400463364280366,-1.2646229646843015,-0.6224523482845138,2.5170739503195545,0.800996237874154,0.25381093480936584,1.1706737060641887,0.6802166757616215,-0.33638624165192627
KDM8,-0.002047439676246569,0.5082537576174306,0.10675062823048516,0.5159989170114777,-0.47624750079327227,-0.97785870303365,-1.45105964783452,-0.959933295099755,-1.7442907117309467,-0.4401467436187309,1.1735027217726317,0.3379113333874443,0.23657412593879862,-0.661490837728853,0.19830407310035683,2.391193056771812,0.1694273023101019,1.0731115236991886
DCP2,-0.008429709474321131,0.1110469692456768,-1.3954016126549065,-1.3620132066811566,0.1601358013451489,-0.5629348145316899,-1.4473357251686543,-1.3606355592982093,0.6131350112900672,-0.14480943216722203,2.3531266293769324,0.7934440667007203,-0.28058930131742116,0.771922664731202,-0.24412304788025974,0.392623153709534,0.7411730382203422,0.8612353650798876
GOLM1,-0.0033321281393222505,-0.14000269924250044,-0.6734154823985651,-0.43134774690565675,-0.9811309440082052,2.1728498861027936,-0.9366566651755066,-0.9631110053384624,0.534958976728896,-0.9327337007907306,-0.42644599236131325,-0.7229755577027845,0.5029577971188284,-0.6031916300127381,0.3581670466584857,0.9274155160794193,0.11823830130386094,2.196423899944179
PTOV1-AS1,-0.0071603324585968854,-0.7825861293612049,-0.6019477986425005,0.29100703514900295,-1.140194823598165,0.2950459716518145,-0.7309848446398959,-1.1514277233209598,-0.8984826458648211,-0.435063874092262,2.4217424049432053,-0.1314917764551048,0.5712164404218468,-0.23723263797970298,-0.23767288734560685,1.5943703320242548,1.5201894649631045,-0.34648650785300183
NFKBIZ,-0.00378315465430704,-0.21493781819737845,-0.2516744683707946,0.24511451399468073,-0.9673888317779614,0.003694472576465111,-0.9443086724445093,-0.6107166559750301,-0.4061012822025501,2.9295414873061048,-0.4752964003663365,-0.6476375389336596,0.9691346962861125,-0.38266136369981235,-0.00975597592069535,1.815883396267027,-0.8773438342778327,-0.1755457242638252
STK35,-0.0031169474574371477,-0.6564252496128438,-0.3549122908038679,0.41141873373165233,-1.2342186440458924,-1.686921028022343,-0.2698599112751722,-0.2841414540957327,-1.276577494556796,1.4575675512490758,0.5498809114885419,-0.363256099091774,0.6556936129376465,1.0217676469413228,0.004393079291076761,-0.8429785826253877,0.7828064002956415,2.085762818194851
CEP85L,-0.001754204859821772,-0.31938372780441343,-0.25051183434347074,-0.10675992813145437,-0.3386229977596876,-0.2604179675981091,-0.16327465425845444,-0.1516209504545863,-0.34216998107965924,3.5650565508692442,-0.46878092851006936,-0.23225507394307288,0.03221573597930712,0.07180187039882431,-0.19471585990392096,-0.33600302510393903,-0.32877489400158555,-0.17578233435495264
