gene_id,gene_iv,gene_CIR_length,gene_CER_length,gene_CIR_read_count,gene_CER_read_count,gene_CIR_RPKM,gene_CER_RPKM,gene_IRI
A1BG,chr19:58858171-58864865,4928,1766,126.6720906,204.3279094,0.384143768,1.729101731,0.222163775
A1BG-AS1,chr19:58863335-58866549,1084,2130,77.93475449,14.06524551,1.074448101,0.098685028,10.88765061
A1CF,chr10:52559168-52645435,76738,9221,7.708991651,2.291008349,0.001501311,0.003713062,0.404332312
A2M,chr12:9220303-9268558,43602,4653,81.75013644,15.24986356,0.028019839,0.048979738,0.572069995
A2M-AS1,chr12:9217772-9220651,692,2187,2.895730891,32.10426911,0.0625368,0.219380265,0.285061194
A2ML1,chr12:8975149-9029381,27993,3618,4.606368564,2.393631436,0.002459194,0.009887176,0.24872562
A2MP1,chr12:9381128-9386803,4474,1201,30.80857805,14.19142195,0.102910391,0.176590143,0.582764072
A3GALT2,chr1:33772366-33786699,13310,1023,86.74193548,2.258064516,0.097394539,0.03298711,2.952502952
A4GALT,chr22:43088126-43116876,26658,2092,0,0,0,0,NA
A4GNT,chr3:137842559-137851229,6899,1771,0,0,0,0,NA
AA06,chr17:31856805-31860779,3342,632,0,0,0,0,NA
AAAS,chr12:53701239-53715412,12336,1738,328.1235478,1830.876452,0.397508657,15.74319302,0.025249557
AACS,chr12:125549924-125627871,74626,3321,302.1718707,941.8281293,0.060512824,4.238247698,0.014277793
AACSP1,chr5:178191863-178203277,9241,2173,0,0,0,0,NA
AADAC,chr3:151531860-151546276,12810,1606,0,0,0,0,NA
AADACL2,chr3:151451703-151475556,22353,1500,0,0,0,0,NA
AADACL2-AS1,chr3:151468966-151645963,23034,712,0,0,0,0,NA
AADACL3,chr1:12776117-12788726,8560,3832,0,0,0,0,NA
AADACL4,chr1:12704565-12727097,20957,1575,0,0,0,0,NA
AADACP1,chr3:151488243-151502682,13150,1289,0,0,0,0,NA
AADAT,chr4:170981372-171011538,27473,2030,4,4,0.002175893,0.029447437,0.073890729
AAED1,chr9:99403532-99417599,12842,1225,73.47582199,469.524178,0.085505754,5.728031868,0.014927597
AAGAB,chr15:67493012-67547536,50718,3021,497.3284628,2667.671537,0.146542889,13.19669511,0.011104514
AAK1,chr2:69685126-69870977,164586,21265,1579.84409,11870.15591,0.143451434,8.342084592,0.017196114
AAMDC,chr11:77532207-77583398,50687,504,211.2394155,97.76058445,0.06228191,2.898790344,0.021485483
AAMP,chr2:219128851-219134893,4249,1793,372.1146009,3581.885399,1.308800744,29.8548539,0.043838792
AANAT,chr17:74449432-74466199,1488,846,18.67806225,10.32193775,0.187591191,0.182336841,1.028816722
AAR2,chr20:34824338-34844863,17760,2486,959.8565794,2516.143421,0.807694151,15.12578146,0.053398507
AARD,chr8:117950463-117956239,3990,1786,0,1,0,0.008367623,0
AARS,chr16:70286296-70323412,33772,3344,346.2955047,4146.704495,0.153240523,18.53191809,0.008269005
AARS2,chr6:44266462-44281063,9819,4782,190.0532412,1366.946759,0.289262126,4.271944295,0.067712055
AARSD1,chr17:41102542-41116515,12609,1364,0,0,0,0,NA
AASDH,chr4:57204450-57253674,35569,1687,72.77367269,656.2263273,0.030576389,5.813291767,0.005259738
AASDHPPT,chr11:105948291-105969419,18267,2861,256.8379608,1814.162039,0.210123941,9.476364794,0.022173475
AASS,chr7:121713597-121784344,64876,5871,59.82199688,328.1780031,0.013780355,0.835373974,0.016496031
AATF,chr17:35306174-35414171,105856,2141,563.2650479,4676.734952,0.079520825,32.64447161,0.002435966
AATK,chr17:79091095-79139872,9564,5042,37.20749168,629.7925083,0.058139913,1.866715794,0.031145562
AATK-AS1,chr17:79139306-79156964,16081,1577,23.16841909,0.83158091,0.021531134,0.007880547,2.732187695
ABAT,chr16:8768443-8878432,58952,4689,0,0,0,0,NA
ABCA1,chr9:107543283-107690527,136742,10502,136.7350235,806.2649765,0.014943812,1.147332601,0.01302483
ABCA10,chr17:67144147-67240956,90478,6331,56.32186932,87.67813068,0.009302884,0.206967675,0.044948489
ABCA11P,chr4:419223-467998,46880,1895,192.9951258,151.0048742,0.061523678,1.190872605,0.051662686
ABCA12,chr2:215796265-216003151,92404,7895,0,0,0,0,NA
ABCA13,chr7:48211056-48687091,458851,17184,3,17,9.77E-05,0.014784553,0.006608835
ABCA17P,chr16:2390922-2476700,81590,4188,0,0,0,0,NA
ABCA2,chr9:139901685-139923374,12901,7940,292.0586728,10807.94133,0.338322036,20.34257984,0.016631226
ABCA3,chr16:2325878-2390747,58246,6623,0,0,0,0,NA
ABCA4,chr1:94458393-94586705,120987,7325,1,0,0.000123522,0,inf
ABCA5,chr17:67240575-67323323,61950,8046,87.87306436,1682.126936,0.021198153,3.124368784,0.006784779
ABCA6,chr17:67074846-67138015,57873,5296,10.05454545,20.94545455,0.00259639,0.059105156,0.043928324
ABCA7,chr19:1040101-1065570,18651,6818,1103.429159,10735.57084,0.88414987,23.53161305,0.037572854
ABCA8,chr17:66863427-66951533,82102,5708,0,0,0,0,NA
ABCA9,chr17:66970772-67057136,80063,6301,4,10,0.000746641,0.023717782,0.031480209
ABCB1,chr7:87133178-87342639,204745,4716,198.7047627,917.2952373,0.014503691,2.906825058,0.00498953
ABCB10,chr1:229652328-229694442,38257,3857,499.2547642,2620.745236,0.195027054,10.1545041,0.019205965
ABCB11,chr2:169779448-169887833,103610,4775,1.626666667,2.373333333,0.000234628,0.007427949,0.031587229
ABCB4,chr7:87031360-87105019,69671,3826,28.43888889,13.56111111,0.006100201,0.052970474,0.115162285
ABCB5,chr7:20655244-20796637,10805,726,0,0,0,0,NA
ABCB6,chr2:220074487-220083712,6207,3018,79.88388115,353.1161188,0.19233617,1.748565318,0.10999656
ABCB7,chrX:74273006-74376175,100641,2327,294.1548319,1366.845168,0.043680198,8.778220623,0.004975974
ABCB8,chr7:150725508-150744869,14626,4296,718.7038361,2330.296164,0.734358197,8.106444258,0.090589434
ABCB9,chr12:123405497-123451056,33988,2032,91.86913922,133.1308608,0.040394998,0.979126015,0.041256179
ABCC1,chr16:16043433-16236930,186934,6563,1048.005091,11362.99491,0.083783529,25.87461885,0.003238058
ABCC10,chr6:43395291-43418163,13587,4652,693.3482881,3511.651712,0.76262568,11.28119959,0.06760147
ABCC11,chr16:48200821-48269088,60499,4416,3.344155844,7.655844156,0.00082608,0.025908816,0.03188411
ABCC12,chr16:48116883-48180681,58630,5168,0,0,0,0,NA
ABCC13,chr21:15646119-15673692,16775,712,0,1,0,0.020989571,0
ABCC2,chr10:101542354-101611949,64149,5446,29.72275089,268.2772491,0.006924408,0.73618974,0.009405739
ABCC3,chr17:48712217-48769063,31186,1780,0,0,0,0,NA
ABCC4,chr13:95672082-95953687,202600,2654,44.90165593,300.0983441,0.003312123,1.68984252,0.001960019
ABCC5,chr3:183637723-183735727,32214,756,437.2127133,345.7872867,0.202829762,6.835507742,0.029672962
ABCC5-AS1,chr3:183724125-183729207,4613,469,0,0,0,0,NA
ABCC6,chr16:16243421-16317328,1567,256,0,0,0,0,NA
ABCC6P1,chr16:18582569-18609607,24314,2724,0,0,0,0,NA
ABCC6P2,chr16:14916288-14918559,1565,706,0,0,0,0,NA
ABCC8,chr11:17414431-17498392,79037,4921,0,0,0,0,NA
ABCC9,chr12:21950323-22089628,126851,4532,0,0,0,0,NA
ABCD1,chrX:152990322-153010216,16230,3664,399.9850845,1583.014916,0.368306031,6.456736975,0.05704213
ABCD2,chr12:39945021-40013843,63481,5341,1218.244813,2563.755187,0.286796842,7.173606119,0.039979452
ABCD3,chr1:94883932-94984219,59361,786,218.9539901,347.0460099,0.0551233,6.598543175,0.008353859
ABCD4,chr14:74751979-74769767,14631,3029,1502.531509,2622.468491,1.534734059,12.93881665,0.118614716
ABCE1,chr4:146019155-146050676,27327,4191,392.3483445,5882.651656,0.214567243,20.97678971,0.010228793
ABCF1,chr6:30539169-30559309,16676,3350,376.6958257,5527.304174,0.337584482,24.65767427,0.013690848
ABCF2,chr7:150904922-150924460,11195,2122,139.5201843,2562.479816,0.186250092,18.0467344,0.010320432
ABCF3,chr3:183903862-183911795,5361,2572,808.8568296,3006.14317,2.254807147,17.46715803,0.129088381
ABCG1,chr21:43619798-43717354,74351,2811,1213.856372,1832.143628,0.243985514,9.740521832,0.025048505
ABCG2,chr4:89011415-89152474,64165,3947,10.7407578,113.2592422,0.002501614,0.428834856,0.005833513
ABCG4,chr11:119019749-119033374,9465,3511,0,1,0,0.004256501,0
ABCG5,chr2:44039610-44065958,23608,2740,1,0,0.00063303,0,inf
ABCG8,chr2:44066102-44105605,36838,2665,0,0,0,0,NA
ABHD1,chr2:27346656-27353680,5578,1446,31.64881337,35.35118663,0.084793483,0.365358534,0.23208294
ABHD10,chr3:111697722-111712215,11687,2458,402.6567873,1187.343213,0.514891276,7.219015073,0.071324311
ABHD11,chr7:73150424-73153190,1121,1270,81.988138,400.011862,1.093022153,4.70709217,0.23220751
ABHD12,chr20:25275378-25371618,88662,1436,340.5993295,1117.40067,0.0574103,11.62888407,0.004936871
ABHD12B,chr14:51338877-51371688,31103,1477,4.501304996,2.498695004,0.002162817,0.025282284,0.085546729
ABHD13,chr13:108870762-108886603,10539,5302,594.0999943,3542.900006,0.842449151,9.986256684,0.084360855
ABHD14A,chr3:52009041-52015216,5067,1108,0,0,0,0,NA
ABHD14A-ACY1,chr3:52009041-52023218,12298,1879,8,0,0.009721629,0,inf
ABHD14B,chr3:52002525-52008646,3684,2004,80.31971958,4926.68028,0.325826284,36.74008996,0.008868413
ABHD15,chr17:27887688-27894042,2999,3355,38.5,2032.5,0.191852656,9.053605838,0.021190745
ABHD16A,chr6:31654725-31671137,13855,1684,525.5852058,2265.414794,0.566917881,20.10431121,0.028198821
ABHD17A,chr19:1876974-1885518,6828,1563,9953.126111,13242.87389,21.78459787,126.6213147,0.172045267
ABHD17B,chr9:74477367-74526148,42977,1457,338.4790251,981.5209749,0.117700747,10.06754516,0.011691107
ABHD17C,chr15:80987651-81047962,57951,2360,26,329,0.006704957,2.083374999,0.003218315
ABHD2,chr15:89631380-89745591,105078,8735,224.7473745,6398.252626,0.031964387,10.94667004,0.00292001
ABHD3,chr18:19230857-19284766,47071,2064,830.0255957,1996.314408,0.263524873,14.45449095,0.018231349
ABHD4,chr14:23067146-23081265,11610,2509,81.41823837,725.5817616,0.104802836,4.321845621,0.024249556
ABHD5,chr3:43732374-43764217,26490,5353,102.0568572,605.9431428,0.057576304,1.691679883,0.034034988
ABHD6,chr3:58223258-58280461,54810,2393,90.05147574,225.9485243,0.024553567,1.411075865,0.0174006
