gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4928	1766	16.8369837597	325.16301624	0.0511287522006	2.75538344197	0.0185559481203
A1BG-AS1	chr19:58863335-58866549	1084	2130	67.7986049142	14.2013950858	0.935972470977	0.0997752917491	9.38080415069
A1CF	chr10:52559168-52645435	76738	9221	4.0	0.0	0.00078004761845	0.0	inf
A2M	chr12:9220303-9268558	43602	4653	50.8107898682	10.1892101318	0.0174389822511	0.0327701980646	0.532159806196
A2M-AS1	chr12:9217772-9220651	692	2187	0.0	13.0	0.0	0.0889541408184	0.0
A2ML1	chr12:8975149-9029381	27993	3618	18.5438916207	10.4561083793	0.00991340927294	0.0432487055751	0.229218635358
A2MP1	chr12:9381128-9386803	4474	1201	3.26111111111	4.73888888889	0.0109079017232	0.0590479899914	0.184729433208
A3GALT2	chr1:33772366-33786699	13310	1023	19.0	0.0	0.0213622574896	0.0	inf
A4GALT	chr22:43088126-43116876	26658	2092	0.0	3.0	0.0	0.0214600719926	0.0
A4GNT	chr3:137842559-137851229	6899	1771	0.0	0.0	0.0	0.0	NA
AA06	chr17:31856805-31860779	3342	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	12336	1738	30.9192433969	1491.0807566	0.037508189146	12.8387574227	0.00292148125485
AACS	chr12:125549924-125627871	74626	3321	52.5019680839	939.498031916	0.0105282701428	4.23349059325	0.0024869005637
AACSP1	chr5:178191863-178203277	9241	2173	0.0	0.0	0.0	0.0	NA
AADAC	chr3:151531860-151546276	12810	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	22353	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	23034	712	0.0	0.0	0.0	0.0	NA
AADACL3	chr1:12776117-12788726	8560	3832	0.0	0.0	0.0	0.0	NA
AADACL4	chr1:12704565-12727097	20957	1575	0.0	0.0	0.0	0.0	NA
AADACP1	chr3:151488243-151502682	13150	1289	0.0	0.0	0.0	0.0	NA
AADAT	chr4:170981372-171011538	27473	2030	0.0	0.0	0.0	0.0	NA
AAED1	chr9:99403532-99417599	12842	1225	9.16924979631	572.830750204	0.0106849560162	6.99780497378	0.00152690108631
AAGAB	chr15:67493012-67547536	50718	3021	90.3683288465	3543.63167115	0.0266640264688	17.5537314253	0.00151899478366
AAK1	chr2:69685126-69870977	164586	21265	383.059404178	4720.94059582	0.0348293073979	3.32226865465	0.0104835914908
AAMDC	chr11:77532207-77583398	50687	504	31.83790398	150.16209602	0.00939981878632	4.4586295015	0.00210823051863
AAMP	chr2:219128851-219134893	4249	1793	28.630519681	4781.36948032	0.100835649511	39.9064977881	0.00252679776729
AANAT	chr17:74449432-74466199	1488	846	12.9946236559	4.00537634409	0.13068699592	0.0708507685403	1.84453886123
AAR2	chr20:34824338-34844863	17760	2486	191.228288039	2544.77171196	0.161131620812	15.3186080488	0.0105186855293
AARD	chr8:117950463-117956239	3990	1786	0.0	10.0	0.0	0.0837896054656	0.0
AARS	chr16:70286296-70323412	33772	3344	31.008808448	3809.99119155	0.0137404165134	17.0501931387	0.00080588040274
AARS2	chr6:44266462-44281063	9819	4782	13.8721023181	590.127897682	0.0211420270156	1.84675028285	0.011448232721
AARSD1	chr17:41102542-41116515	12609	1364	0.0	0.0	0.0	0.0	NA
AASDH	chr4:57204450-57253674	35569	1687	17.7677322677	499.232267732	0.00747535713751	4.42852566103	0.00168800131459
AASDHPPT	chr11:105948291-105969419	18267	2861	109.987335981	1869.01266402	0.0901046189396	9.77610790069	0.00921681919379
AASS	chr7:121713597-121784344	64876	5871	5.0	62.0	0.00115334049079	0.158034246166	0.00729804152438
AATF	chr17:35306174-35414171	105856	2141	189.28938846	5841.71061154	0.0267597707788	40.8314658809	0.000655371297639
AATK	chr17:79091095-79139872	9564	5042	2.30994152047	70.6900584795	0.00361437340366	0.209810442465	0.0172268518249
AATK-AS1	chr17:79139306-79156964	16081	1577	0.0	0.0	0.0	0.0	NA
ABAT	chr16:8768443-8878432	58952	4689	0.0	0.0	0.0	0.0	NA
ABCA1	chr9:107543283-107690527	136742	10502	41.9330594813	299.066940519	0.00458908627538	0.426155398053	0.0107685747883
ABCA10	chr17:67144147-67240956	90478	6331	3.30555555556	10.6944444444	0.000546730205993	0.0252788617799	0.0216279597853
ABCA11P	chr4:419223-467998	46880	1895	19.8166666667	56.1833333333	0.00632578753714	0.443680036415	0.0142575437657
ABCA12	chr2:215796265-216003151	92404	7895	0.0	0.0	0.0	0.0	NA
ABCA13	chr7:48211056-48687091	458851	17184	0.0	3.0	0.0	0.00261257394137	0.0
ABCA17P	chr16:2390922-2476700	81590	4188	0.0	0.0	0.0	0.0	NA
ABCA2	chr9:139901685-139923374	12901	7940	17.4071361037	5507.5928639	0.0201918238944	10.3803722062	0.00194519266683
ABCA3	chr16:2325878-2390747	58246	6623	0.0	0.0	0.0	0.0	NA
ABCA4	chr1:94458393-94586705	120987	7325	0.504	1.496	6.233951633e-05	0.00305629706622	0.0203970736415
ABCA5	chr17:67240575-67323323	61950	8046	16.4184114926	434.581588507	0.00396607959211	0.808281976643	0.00490680196604
ABCA6	chr17:67074846-67138015	57873	5296	0.0	3.0	0.0	0.00847705260733	0.0
ABCA7	chr19:1040101-1065570	18651	6818	20.2109842171	2257.78901578	0.0162164930728	4.9556195663	0.00327234422575
ABCA8	chr17:66863427-66951533	82102	5708	0.0	0.0	0.0	0.0	NA
ABCA9	chr17:66970772-67057136	80063	6301	0.0	2.0	0.0	0.00474998366486	0.0
ABCB1	chr7:87133178-87342639	204745	4716	22.6172706417	1251.38272936	0.00165309758003	3.97089095018	0.000416303948098
ABCB10	chr1:229652328-229694442	38257	3857	65.9501743339	2601.04982567	0.0257974415423	10.091846422	0.00255626576778
ABCB11	chr2:169779448-169887833	103610	4775	0.0	0.0	0.0	0.0	NA
ABCB4	chr7:87031360-87105019	69671	3826	8.0	12.0	0.00171834175323	0.0469361950951	0.0366101630042
ABCB5	chr7:20655244-20796637	10805	726	0.0	0.0	0.0	0.0	NA
