gene_id,gene_iv,gene_CIR_length,gene_CER_length,gene_CIR_read_count,gene_CER_read_count,gene_CIR_RPKM,gene_CER_RPKM,gene_IRI
A1BG,chr19:58858171-58864865,4928,1766,44.73668068,584.2633193,0.12732066,4.640061589,0.027439433
A1BG-AS1,chr19:58863335-58866549,1084,2130,41.49290135,6.507098655,0.536846769,0.042846328,12.52958635
A1CF,chr10:52559168-52645435,76738,9221,2,1,0.000365532,0.001520995,0.24032422
A2M,chr12:9220303-9268558,43602,4653,58.8158323,5.184167698,0.018918803,0.015626144,1.210714789
A2M-AS1,chr12:9217772-9220651,692,2187,1.055555556,10.94444444,0.02139345,0.070186043,0.304810598
A2ML1,chr12:8975149-9029381,27993,3618,1,0,0.000501022,0,inf
A2MP1,chr12:9381128-9386803,4474,1201,11.87519154,10.12480846,0.037226351,0.118235973,0.314847925
A3GALT2,chr1:33772366-33786699,13310,1023,39,0,0.041095321,0,inf
A4GALT,chr22:43088126-43116876,26658,2092,0,2,0,0.013408313,0
A4GNT,chr3:137842559-137851229,6899,1771,0,0,0,0,NA
AA06,chr17:31856805-31860779,3342,632,0,0,0,0,NA
AAAS,chr12:53701239-53715412,12336,1738,67.09950382,1092.900496,0.076287041,8.819351941,0.00864996
AACS,chr12:125549924-125627871,74626,3321,134.4916956,557.5083044,0.025276162,2.354443581,0.010735514
AACSP1,chr5:178191863-178203277,9241,2173,0,0,0,0,NA
AADAC,chr3:151531860-151546276,12810,1606,0,0,0,0,NA
AADACL2,chr3:151451703-151475556,22353,1500,0,0,0,0,NA
AADACL2-AS1,chr3:151468966-151645963,176225,712,0,0,0,0,NA
AADACL3,chr1:12776117-12788726,8560,3832,0,0,0,0,NA
AADACL4,chr1:12704565-12727097,20957,1575,0,0,0,0,NA
AADACP1,chr3:151488243-151502682,13150,1289,0,0,0,0,NA
AADAT,chr4:170981372-171011538,27473,2030,0,2,0,0.013817828,0
AAED1,chr9:99403532-99417599,12842,1225,38.00671152,900.9932885,0.041508157,10.31552391,0.004023854
AAGAB,chr15:67493012-67547536,50718,3021,184.8228119,1778.177188,0.051109223,8.255248137,0.006191119
AAK1,chr2:69685126-69870977,152271,21265,1039.60497,7356.418918,0.09575401,4.851844665,0.019735589
AAMDC,chr11:77532207-77583398,50687,504,84.66391732,76.33608268,0.02342651,2.124247696,0.011028144
AAMP,chr2:219128851-219134893,4249,1793,203.0861308,1968.913869,0.670346517,15.40111811,0.043525834
AANAT,chr17:74449432-74466199,1488,846,25.52252779,16.47747221,0.240561751,0.273165625,0.880644302
AAR2,chr20:34824338-34844863,14722,2486,545.8714042,6303.598129,0.520031144,35.56257636,0.014622988
AARD,chr8:117950463-117956239,3990,1786,0,7,0,0.054969579,0
AARS,chr16:70286296-70323412,33772,3344,60.34179076,1440.658209,0.025059202,6.042275347,0.004147312
AARS2,chr6:44266462-44281063,9819,4782,103.3454745,748.6545255,0.147614842,2.195723778,0.06722833
AARSD1,chr17:41102542-41116515,12609,1364,0,0,0,0,NA
AASDH,chr4:57204450-57253674,35569,1687,64.53984469,362.4601553,0.025448494,3.013359953,0.008445222
AASDHPPT,chr11:105948291-105969419,18267,2861,148.2863252,2257.713675,0.113851746,11.06768598,0.010286861
AASS,chr7:121713597-121784344,64876,5871,33.90659341,240.0934066,0.007330033,0.573553555,0.012780032
AATF,chr17:35306174-35414171,105856,2141,512.7551798,3232.24482,0.067936067,21.17353658,0.003208537
AATK,chr17:79091095-79139872,9564,5042,3.959586466,103.0404135,0.005806522,0.286622694,0.020258417
AATK-AS1,chr17:79139306-79156964,16081,1577,0,0,0,0,NA
ABAT,chr16:8768443-8878432,58952,4689,0,0,0,0,NA
ABCA1,chr9:107543283-107690527,136742,10502,102.7251677,1399.274832,0.010536121,1.86868815,0.005638245
ABCA10,chr17:67144147-67240956,90478,6331,31.16045831,22.83954169,0.004830217,0.050596549,0.095465351
ABCA11P,chr4:419223-467998,46880,1895,25.73333333,41.26666667,0.007698644,0.305418963,0.025206832
ABCA12,chr2:215796265-216003151,92404,7895,8.577278776,2.422721224,0.001301861,0.00430385,0.302487508
ABCA13,chr7:48211056-48687091,458851,17184,0,1,0,0.000816172,0
ABCA17P,chr16:2390922-2476700,81590,4188,0,0,0,0,NA
ABCA2,chr9:139901685-139923374,12901,7940,51.55286385,3837.447136,0.05604479,6.778408313,0.008268134
ABCA3,chr16:2325878-2390747,58246,6623,0,0,0,0,NA
ABCA4,chr1:94458393-94586705,120987,7325,0,0,0,0,NA
ABCA5,chr17:67240575-67323323,61950,8046,62.37556257,628.6244374,0.01412144,1.095764066,0.0128873
ABCA6,chr17:67074846-67138015,57873,5296,7,6,0.001696398,0.015889458,0.106762509
ABCA7,chr19:1040101-1065570,18651,6818,196.57853,5497.42147,0.147822242,11.30857441,0.013071696
ABCA8,chr17:66863427-66951533,82102,5708,0,0,0,0,NA
ABCA9,chr17:66970772-67057136,80063,6301,1,1,0.000175176,0.002225852,0.078700523
ABCB1,chr7:87133178-87342639,204745,4716,191.6570826,797.3429174,0.013128569,2.371249035,0.005536563
ABCB10,chr1:229652328-229694442,38257,3857,136.3030026,1338.696997,0.049968963,4.867864413,0.010265069
ABCB11,chr2:169779448-169887833,103610,4775,0.265625,2.734375,3.60E-05,0.008031386,0.004476953
ABCB4,chr7:87031360-87105019,69671,3826,153.2241992,77.7758008,0.030844742,0.285105338,0.108187177
ABCB5,chr7:20655244-20796637,10805,726,0,0,0,0,NA
ABCB6,chr2:220074487-220083712,6207,3018,25.44987318,92.55012682,0.057505542,0.430094219,0.133704522
ABCB7,chrX:74273006-74376175,100641,2327,104.016029,844.983971,0.014495432,5.092815113,0.002846251
ABCB8,chr7:150725508-150744869,14626,4296,180.1430754,1006.856925,0.172741953,3.287072714,0.052551911
ABCB9,chr12:123405497-123451056,33988,2032,33.17215773,140.8278423,0.013688439,0.972009801,0.014082614
ABCC1,chr16:16043433-16236930,186934,6563,661.1148331,7145.885167,0.049601456,15.27071779,0.003248142
ABCC10,chr6:43395291-43418163,13587,4652,229.9167605,1773.08324,0.237330131,5.345585019,0.04439741
ABCC11,chr16:48200821-48269088,60499,4416,2,6,0.000463647,0.019055836,0.024330981
ABCC12,chr16:48116883-48180681,58630,5168,0,0,0,0,NA
ABCC13,chr21:15646119-15673692,16775,712,0,0,0,0,NA
ABCC2,chr10:101542354-101611949,64149,5446,20.12525509,80.87474491,0.004400047,0.208276902,0.021125948
ABCC3,chr17:48712217-48769063,31186,1780,0,0,0,0,NA
ABCC4,chr13:95672082-95953687,202600,2654,32.83259563,173.1674044,0.002272854,0.915105259,0.002483708
ABCC5,chr3:183637723-183735727,32214,756,43.00071685,227.9992832,0.018721337,4.229777364,0.004426081
ABCC5-AS1,chr3:183724125-183729207,4613,469,0,0,0,0,NA
ABCC6,chr16:16243421-16317328,1567,256,0,0,0,0,NA
ABCC6P1,chr16:18582569-18609607,24314,2724,0,0,0,0,NA
ABCC6P2,chr16:14916288-14918559,1565,706,0,0,0,0,NA
ABCC8,chr11:17414431-17498392,79037,4921,0,0,0,0,NA
ABCC9,chr12:21950323-22089628,126851,4532,0,0,0,0,NA
ABCD1,chrX:152990322-153010216,16230,3664,60.96859919,977.0314008,0.052685793,3.739890437,0.014087523
ABCD2,chr12:39945021-40013843,63481,5341,439.4930435,1468.506957,0.097098846,3.856197359,0.025179947
ABCD3,chr1:94883932-94984219,59361,786,115.1764996,403.8235004,0.027212503,7.205678244,0.003776536
ABCD4,chr14:74751979-74769767,14631,3029,628.2950411,1225.704959,0.602275843,5.675347945,0.106121395
