gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4928	1766	82.2234779991	498.776522001	0.23150624451	3.91879792263	0.0590758311812
A1BG-AS1	chr19:58863335-58866549	1084	2130	34.753014553	4.24698544699	0.444836859361	0.0276655134785	16.0791109013
A1CF	chr10:52559168-52645435	76738	9221	7.51807228916	1.48192771084	0.00135935718502	0.00222990603504	0.609602899699
A2M	chr12:9220303-9268558	43602	4653	56.3383808608	9.66161913916	0.0179281516316	0.02881074091	0.62227318928
A2M-AS1	chr12:9217772-9220651	692	2187	2.17547021944	17.8245297806	0.0436198948071	0.113085484906	0.385724965883
A2ML1	chr12:8975149-9029381	27993	3618	0.0	0.0	0.0	0.0	NA
A2MP1	chr12:9381128-9386803	4474	1201	9.44947003736	5.55052996264	0.0293054934431	0.0641252409301	0.457004028649
A3GALT2	chr1:33772366-33786699	13310	1023	117.766712655	0.233287344789	0.12276711855	0.00316412121245	38.7997520661
A4GALT	chr22:43088126-43116876	26658	2092	0.0	0.0	0.0	0.0	NA
A4GNT	chr3:137842559-137851229	6899	1771	0.0	0.0	0.0	0.0	NA
AA06	chr17:31856805-31860779	3342	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	12336	1738	85.6191224028	1012.3808776	0.0963017051937	8.08223971272	0.0119152250634
AACS	chr12:125549924-125627871	74626	3321	432.488975257	777.511024743	0.0804122924097	3.24844296589	0.0247541031978
AACSP1	chr5:178191863-178203277	9241	2173	0.0	0.0	0.0	0.0	NA
AADAC	chr3:151531860-151546276	12810	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	22353	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	176225	712	5.0	0.0	0.000393677007654	0.0	inf
AADACL3	chr1:12776117-12788726	8560	3832	0.0	0.0	0.0	0.0	NA
AADACL4	chr1:12704565-12727097	20957	1575	0.0	0.0	0.0	0.0	NA
AADACP1	chr3:151488243-151502682	13150	1289	0.0	0.0	0.0	0.0	NA
AADAT	chr4:170981372-171011538	27473	2030	0.0	0.0	0.0	0.0	NA
AAED1	chr9:99403532-99417599	12842	1225	55.8783138493	806.121686151	0.0603737556786	9.13065812061	0.00661220197724
AAGAB	chr15:67493012-67547536	50718	3021	418.470624482	1729.52937552	0.114482847664	7.94355274071	0.0144120460203
AAK1	chr2:69685126-69870977	164586	21265	2054.86664218	13454.1333578	0.17323207896	8.7786534896	0.019733331446
AAMDC	chr11:77532207-77583398	50687	504	196.765717004	82.234282996	0.0538629841526	2.26391407511	0.0237919737081
AAMP	chr2:219128851-219134893	4249	1793	380.704901116	2495.29509888	1.24319513702	19.3098628814	0.0643813549924
AANAT	chr17:74449432-74466199	1488	846	25.9301411446	12.0698588554	0.241790657041	0.197956330312	1.22143432675
AAR2	chr20:34824338-34844863	14722	2486	925.162157568	4686.24965155	0.871944038488	26.1554299032	0.0333370180385
AARD	chr8:117950463-117956239	3990	1786	0.0	22.0	0.0	0.170914454068	0.0
AARS	chr16:70286296-70323412	33772	3344	189.921606552	1563.07839345	0.0780288417936	6.48562832811	0.0120310381425
AARS2	chr6:44266462-44281063	9819	4782	202.387674504	1071.6123255	0.285992316898	3.1093219607	0.0919789975155
AARSD1	chr17:41102542-41116515	12609	1364	0.0	0.0	0.0	0.0	NA
AASDH	chr4:57204450-57253674	35569	1687	70.7966154085	543.203384591	0.0276171212191	4.46770974636	0.00618149405107
AASDHPPT	chr11:105948291-105969419	18267	2861	260.024639022	2580.97536098	0.197508067284	12.5170955274	0.0157790652673
AASS	chr7:121713597-121784344	64876	5871	37.0772279536	150.922772046	0.00792977304594	0.356681232705	0.0222321005953
AATF	chr17:35306174-35414171	105856	2141	612.3391573	4306.6608427	0.0802627653754	27.9101114177	0.00287575940397
AATK	chr17:79091095-79139872	9564	5042	11.33997114	34.66002886	0.0164516684161	0.0953813894225	0.172483002352
AATK-AS1	chr17:79139306-79156964	16081	1577	2.0	0.0	0.00172565712764	0.0	inf
ABAT	chr16:8768443-8878432	58952	4689	0.0	0.0	0.0	0.0	NA
ABCA1	chr9:107543283-107690527	136742	10502	143.97509892	1320.02490108	0.0146090852648	1.74400479947	0.00837674602113
ABCA10	chr17:67144147-67240956	90478	6331	47.0183649178	29.9816350822	0.00721044545915	0.0657083506752	0.109734080753
ABCA11P	chr4:419223-467998	46880	1895	89.8789521887	59.1210478113	0.0266016125439	0.432882943547	0.0614522076705
ABCA12	chr2:215796265-216003151	92404	7895	7.0	0.0	0.0010511019322	0.0	inf
ABCA13	chr7:48211056-48687091	458851	17184	3.0	4.0	9.07166779724e-05	0.00322978261983	0.0280875491173
ABCA17P	chr16:2390922-2476700	81590	4188	0.0	0.0	0.0	0.0	NA
ABCA2	chr9:139901685-139923374	12901	7940	84.5816839413	4336.41831606	0.0909683919859	7.57788889633	0.0120044504783
ABCA3	chr16:2325878-2390747	58246	6623	0.0	0.0	0.0	0.0	NA
ABCA4	chr1:94458393-94586705	120987	7325	0.0	0.0	0.0	0.0	NA
ABCA5	chr17:67240575-67323323	61950	8046	111.234350344	675.765649656	0.0249135248786	1.16534267236	0.0213787115751
ABCA6	chr17:67074846-67138015	57873	5296	3.0	2.0	0.000719254892684	0.00523985881223	0.137266082629
ABCA7	chr19:1040101-1065570	18651	6818	410.482445052	5939.51755495	0.305372575779	12.0873678564	0.0252637778056
ABCA8	chr17:66863427-66951533	82102	5708	0.0	0.0	0.0	0.0	NA
ABCA9	chr17:66970772-67057136	80063	6301	1.0	4.0	0.00017330285069	0.00880821846359	0.0196751308345
ABCB1	chr7:87133178-87342639	204745	4716	245.87379471	631.12620529	0.0166623596782	1.85686351312	0.00897338956819
ABCB10	chr1:229652328-229694442	38257	3857	223.013590243	1871.98640976	0.0808831365414	6.7342714539	0.012010673626
ABCB11	chr2:169779448-169887833	103610	4775	0.0	0.0	0.0	0.0	NA
ABCB4	chr7:87031360-87105019	69671	3826	27.7	9.3	0.0055165211915	0.0337268319533	0.163564760519
ABCB5	chr7:20655244-20796637	10805	726	0.0	0.0	0.0	0.0	NA
ABCB6	chr2:220074487-220083712	6207	3018	60.9116689425	96.0883310575	0.13616212468	0.441762635941	0.308224629252
ABCB7	chrX:74273006-74376175	100641	2327	383.56966303	996.43033697	0.0528818784333	5.94139086317	0.00890058904576
