,gene_id,gene_iv,gene_CIR_length,gene_CER_length,gene_CIR_read_count,gene_CER_read_count,gene_CIR_RPKM,gene_CER_RPKM,gene_IRI
0,A1BG,chr19:58858171-58864865,4928,1766,105.860482641,307.139517359,0.32026402770999995,2.59292520168,0.123514564748
1,A1BG-AS1,chr19:58863335-58866549,1084,2130,71.37312587529999,13.6268741247,0.9816358845569999,0.09538094729010001,10.2917397284
2,A1CF,chr10:52559168-52645435,76738,9221,16.866666666700002,1.13333333333,0.0032769044382399996,0.0018324183444899998,1.7882949317200003
3,A2M,chr12:9220303-9268558,43602,4653,55.344009413500004,9.65599058654,0.018923836997200003,0.0309391780486,0.611646404035
4,A2M-AS1,chr12:9217772-9220651,692,2187,9.16415770609,28.835842293899997,0.197438321602,0.19657525567499998,1.00439051153
5,A2ML1,chr12:8975149-9029381,27993,3618,9.42705968479,3.57294031521,0.00502078706614,0.0147231992539,0.341011962113
6,A2MP1,chr12:9381128-9386803,4474,1201,9.58440057182,4.41559942818,0.0319384596763,0.0548140197083,0.582669540499
7,A3GALT2,chr1:33772366-33786699,13310,1023,36.0,0.0,0.040324541297699995,0.0,inf
8,A4GALT,chr22:43088126-43116876,26658,2092,0.0,3.0,0.0,0.0213798456291,0.0
9,A4GNT,chr3:137842559-137851229,6899,1771,0.0,0.0,0.0,0.0,
10,AA06,chr17:31856805-31860779,3342,632,0.0,0.0,0.0,0.0,
11,AAAS,chr12:53701239-53715412,12336,1738,235.667006666,1665.33299333,0.28481930051,14.2855282643,0.0199376106532
12,AACS,chr12:125549924-125627871,74626,3321,297.06861583799997,994.931384162,0.0593487531661,4.46651961408,0.013287471743999999
13,AACSP1,chr5:178191863-178203277,9241,2173,0.0,0.0,0.0,0.0,
14,AADAC,chr3:151531860-151546276,12810,1606,0.0,0.0,0.0,0.0,
15,AADACL2,chr3:151451703-151475556,22353,1500,0.0,0.0,0.0,0.0,
16,AADACL2-AS1,chr3:151468966-151645963,176225,712,4.0,0.0,0.000338405538798,0.0,inf
17,AADACL3,chr1:12776117-12788726,8560,3832,0.0,0.0,0.0,0.0,
18,AADACL4,chr1:12704565-12727097,20957,1575,0.0,0.0,0.0,0.0,
19,AADACP1,chr3:151488243-151502682,13150,1289,0.0,0.0,0.0,0.0,
20,AADAT,chr4:170981372-171011538,27473,2030,0.0,1.0,0.0,0.00734427537866,0.0
21,AAED1,chr9:99403532-99417599,12842,1225,36.888769841300004,437.111230159,0.0428258999152,5.319868120930001,0.00805018074541
22,AAGAB,chr15:67493012-67547536,50718,3021,596.608083889,2969.39191611,0.17537674483,14.654188956099999,0.0119676868747
23,AAK1,chr2:69685126-69870977,164586,21265,1744.61198656,10589.388013400001,0.158034152614,7.42421372087,0.021286315097599998
24,AAMDC,chr11:77532207-77583398,50687,504,97.50897795040001,101.49102205,0.0286809153333,3.0022170024199997,0.00955324525514
25,AAMP,chr2:219128851-219134893,4249,1793,201.433427546,3088.56657245,0.706789033089,25.681575778000003,0.027521248664799998
26,AANAT,chr17:74449432-74466199,1488,846,29.7730048328,21.226995167200002,0.298307881099,0.374078845009,0.7974465412270001
27,AAR2,chr20:34824338-34844863,14722,2486,657.284553921,2472.68932242,0.665628032554,14.8290530808,0.0448867523049
28,AARD,chr8:117950463-117956239,3990,1786,0.0,5.0,0.0,0.041738183143,0.0
29,AARS,chr16:70286296-70323412,33772,3344,312.241507038,4083.75849296,0.137841136238,18.2070159429,0.00757077033768
30,AARS2,chr6:44266462-44281063,9819,4782,123.84986155700001,1244.15013844,0.18804996460200002,3.8788966740099995,0.048480271687000004
31,AARSD1,chr17:41102542-41116515,12609,1364,0.0,0.0,0.0,0.0,
32,AASDH,chr4:57204450-57253674,35569,1687,89.5071799085,830.4928200910001,0.037517268311199996,7.33948842954,0.00511170072293
