gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4928	1766	19.532197083884462	41.467802916115545	0.0657745164394535	0.38967055662196165	0.1687951920454297
A1BG-AS1	chr19:58863335-58866549	1084	2130	8.0	0.0	0.12247232714391278	0.0	inf
A1CF	chr10:52559168-52645435	76738	9221	3.727777777777778	2.272222222222222	0.0008061517559088589	0.004089310109865207	0.19713637123388314
A2M	chr12:9220303-9268558	43602	4653	2818.342624657807	455.6573753421927	1.0726663176141737	1.6251094548161167	0.6600578899072047
A2M-AS1	chr12:9217772-9220651	692	2187	54.48011103132506	150.51988896867496	1.3064992202808174	1.1421479683610938	1.143896637276829
A2ML1	chr12:8975149-9029381	27993	3618	5.759015544041451	1.2409844559585492	0.003414098697614619	0.0056921330717731485	0.5997924951095878
A2MP1	chr12:9381128-9386803	4474	1201	49.63151860888925	13.368481391110743	0.18409366732089052	0.18472102670303672	0.9966037467778113
A3GALT2	chr1:33772366-33786699	5125	1023	16.03939441563204	2.2199175109734655	0.05193634255382204	0.0360112725539961	1.442224583314781
A4GALT	chr22:43088126-43116876	26658	2092	6.990859380402874	35.00914061959712	0.004351913636086309	0.2777135277558407	0.015670513680962676
A4GNT	chr3:137842559-137851229	6899	1771	2.0	1.0	0.004810842246122679	0.009370412381705353	0.5134077402522105
AA06	chr17:31856805-31860779	3342	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	12336	1738	40.98732106337386	52.01267893662614	0.055138181459998215	0.49663430610671977	0.1110237065422335
AACS	chr12:125549924-125627871	74626	3321	99.26920317604552	98.73079682395448	0.0220750470247205	0.4933567014987184	0.044744597484256216
AACSP1	chr5:178191863-178203277	9241	2173	0.0	0.0	0.0	0.0	NA
AADAC	chr3:151531860-151546276	12810	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	22353	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	23034	712	0.0	1.295	0.0	0.03018332222578685	0.0
AADACL3	chr1:12776117-12788726	8560	3832	2.0	1.0	0.003877336525233687	0.004330636828810069	0.8953271028037382
AADACL4	chr1:12704565-12727097	20957	1575	1.0	0.0	0.0007918595375292352	0.0	inf
AADACP1	chr3:151488243-151502682	13150	1289	0.0	0.0	0.0	0.0	NA
AADAT	chr4:170981372-171011538	27473	2030	4.0	0.0	0.002416190489280411	0.0	inf
AAED1	chr9:99403532-99417599	12842	1225	43.15924181628477	102.84075818371525	0.05577228096071366	1.3931774822779934	0.04003243066311985
AAGAB	chr15:67493012-67547536	50718	3021	1142.9330381685131	752.0669618314869	0.3739692839482771	4.131264971291501	0.0905217376631662
AAK1	chr2:69685126-69870977	164586	21265	2931.0159242375285	1372.984075762471	0.295530666181179	1.071463493421925	0.27581963174251034
AAMDC	chr11:77532207-77583398	50687	504	387.6153464208252	52.384653579174774	0.12690584964569807	1.7248479034297246	0.073575095748069
