gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4928	1766	33.43225177712949	31.56774822287052	0.10379439202298651	0.27348396300672917	0.379526429564108
A1BG-AS1	chr19:58863335-58866549	1084	2130	2.4699999999999998	1.53	0.03486154503436173	0.010989825259050318	3.172165545184863
A1CF	chr10:52559168-52645435	76738	9221	42.0	9.0	0.008373707257157675	0.014932875598395718	0.5607565135048259
A2M	chr12:9220303-9268558	43259	4653	16455.80695796341	2191.551969959134	5.8199823545695075	7.206056800438531	0.807651468167074
A2M-AS1	chr12:9217772-9220651	692	2187	221.30169521401672	886.6983047859836	4.892801602496021	6.2030610409431945	0.7887721191523298
A2ML1	chr12:8975149-9029381	27993	3618	13.35021620701396	5.649783792986041	0.007296554231890866	0.02389143444639281	0.30540461052109485
A2MP1	chr12:9381128-9386803	4474	1201	484.4324302505694	143.56756974943073	1.656594400927492	1.8289098596481055	0.9057824212540644
A3GALT2	chr1:33772366-33786699	13310	1023	50.91226495726495	2.087735042735043	0.05852256091545455	0.03122329317437447	1.874323780922798
A4GALT	chr22:43088126-43116876	26658	2092	4.0	2.0	0.0022956801942765888	0.014626731027491706	0.15695100907795034
A4GNT	chr3:137842559-137851229	6899	1771	4.0	2.0	0.00887059611813673	0.017277877645122897	0.5134077402522105
AA06	chr17:31856805-31860779	3342	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	12336	1738	53.695505389671595	87.30449461032839	0.0665951395587772	0.7685387863771955	0.08665163130243449
AACS	chr12:125549924-125627871	74626	3321	243.4052112593744	156.5947887406256	0.049902082294998734	0.7214186897187456	0.06917215066115588
AACSP1	chr5:178191863-178203277	9241	2173	2.0	0.0	0.0033112348565645113	0.0	inf
AADAC	chr3:151531860-151546276	12810	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	22353	1500	0.0	0.0	0.0	0.0	NA
