gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4928	1766	42.95532758864612	29.04467241135388	0.13561102153871804	0.25587298432570665	0.5299935118046524
A1BG-AS1	chr19:58863335-58866549	1084	2130	12.693915595748058	3.3060844042519433	0.18218598930577426	0.024148101056696264	7.5445265397071095
A1CF	chr10:52559168-52645435	76738	9221	17.934321959447587	10.065678040552413	0.003635993825712028	0.016982970849625804	0.2140964533182451
A2M	chr12:9220303-9268558	43602	4653	4598.13280224279	819.8671977572104	1.6406794970697705	2.741316055132049	0.5985006705075964
A2M-AS1	chr12:9217772-9220651	692	2187	87.8998623068271	270.100137693173	1.9761993471708241	1.921430471243949	1.0285042195106948
A2ML1	chr12:8975149-9029381	27993	3618	8.057694860247256	2.9423051397527433	0.004478267420105827	0.012652251001659879	0.35395025118599943
A2MP1	chr12:9381128-9386803	4474	1201	126.29644556260017	31.703554437399813	0.43918125917332423	0.4106895000695193	1.0693754262015025
A3GALT2	chr1:33772366-33786699	5125	1023	9.0	3.0	0.027321044011268305	0.04562409597841319	0.5988292682926829
A4GALT	chr22:43088126-43116876	26658	2092	3.0	6.0	0.0017508233995767381	0.04462088927907905	0.039237752269487586
A4GNT	chr3:137842559-137851229	6899	1771	1.0	0.0	0.0022550828712333522	0.0	inf
AA06	chr17:31856805-31860779	3342	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	12336	1738	61.63571138866026	127.36428861133973	0.07773322809047159	1.140109470649421	0.06818049502403813
AACS	chr12:125549924-125627871	74626	3321	332.10560880685586	240.8943911931441	0.06923643497400513	1.1285127338572658	0.061351930640033116
AACSP1	chr5:178191863-178203277	9241	2173	0.1746031746031746	0.8253968253968254	0.000293955653145193	0.005909513363057601	0.049742785079869824
AADAC	chr3:151531860-151546276	12810	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	22353	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	176225	712	239.1369918699187	0.8630081300813008	0.02111192789076581	0.018857475172935723	1.1195522039485797
AADACL3	chr1:12776117-12788726	8560	3832	1.0	0.0	0.001817501954280245	0.0	inf
AADACL4	chr1:12704565-12727097	20957	1575	1.0	0.0	0.0007423685035376675	0.0	inf
AADACP1	chr3:151488243-151502682	13150	1289	0.0	0.0	0.0	0.0	NA
AADAT	chr4:170981372-171011538	27473	2030	1.0	0.0	0.0005662947886520911	0.0	inf
AAED1	chr9:99403532-99417599	12842	1225	104.36728355419763	185.63271644580237	0.12643880003131094	2.357583494941375	0.05363067747233913
AAGAB	chr15:67493012-67547536	50718	3021	2286.529214305247	989.4707856947527	0.701396002619183	5.095665389666102	0.1376456162215044
AAK1	chr2:69685126-69870977	164586	21265	14254.786685985371	4853.213314014635	1.3474618665403024	3.55068907991676	0.3794930607024289
AAMDC	chr11:77532207-77583398	50687	504	923.2318840376256	43.76811596237437	0.283375864618016	1.351064140278641	0.20974271773623795
AAMP	chr2:219128851-219134893	4249	1793	52.94438403245421	974.0556159675457	0.19385714840847218	8.451856529126909	0.022936635015087976
AANAT	chr17:74449432-74466199	1488	846	24.58798023793903	13.412019762060973	0.25708016819170054	0.24664508914778688	1.042308075461665
AAR2	chr20:34824338-34844863	17760	2486	565.5318051479603	466.4681948520397	0.49540766772006134	2.919238409190286	0.16970442227686136
AARD	chr8:117950463-117956239	3990	1786	0.0	1.0	0.0	0.008710983610660077	0.0
AARS	chr16:70286296-70323412	33772	3344	299.71373605403403	1480.2862639459656	0.13806974347341922	6.886968421170131	0.02004797104180136
AARS2	chr6:44266462-44281063	9819	4782	246.04674212415617	575.9532578758437	0.3898513209742639	1.8738133062097186	0.2080523815698806
AARSD1	chr17:41102542-41116515	12609	1364	0.0	0.0	0.0	0.0	NA
AASDH	chr4:57204450-57253674	35569	1687	367.2778500701442	315.72214992985585	0.16064667209873254	2.9116463223358324	0.05517382755809975
AASDHPPT	chr11:105948291-105969419	18267	2861	898.917565232585	981.0824347674148	0.7655988796213312	5.33502296952054	0.14350432678458286
AASS	chr7:121713597-121784344	64876	5871	215.21176348422074	116.78823651577925	0.05160961178455341	0.30948219720208253	0.16676116510460823
AATF	chr17:35306174-35414171	105856	2141	4358.417262521665	1274.5827374783337	0.6405631895900856	9.26189847509331	0.0691611111169767
AATK	chr17:79091095-79139872	9564	5042	278.2983017467029	968.7016982532971	0.4527095330893612	2.989068521647373	0.15145505357630887
AATK-AS1	chr17:79139306-79156964	16081	1577	6.0	0.0	0.005804794501077879	0.0	inf
ABAT	chr16:8768443-8878432	58952	4689	0.0	0.0	0.0	0.0	NA
ABCA1	chr9:107543283-107690527	136742	10502	15644.463996144941	9292.536003855053	1.7799483967604153	13.76609903754098	0.12929940369500387
ABCA10	chr17:67144147-67240956	90478	6331	1173.2027027783397	166.79729722166027	0.20173382076713922	0.4098881347349392	0.4921679933418753
ABCA11P	chr4:419223-467998	1279	1895	0.0	97.68007957829315	0.0	0.8019465837034024	0.0
ABCA12	chr2:215796265-216003151	92404	7895	47.48637587345758	8.51362412654241	0.007995155328194807	0.016776871926189388	0.4765581667053225
ABCA13	chr7:48211056-48687091	458851	17184	675.6871282644194	292.31287173558064	0.022909869450950655	0.26465026105006356	0.08656658550061594
ABCA17P	chr16:2390922-2476700	81590	4188	0.0	0.0	0.0	0.0	NA
ABCA2	chr9:139901685-139923374	12901	7940	101.9481313285933	917.0518686714069	0.12294320928900583	1.7968923052198456	0.068419909714046
ABCA3	chr16:2325878-2390747	58246	6623	0.0	0.0	0.0	0.0	NA
ABCA4	chr1:94458393-94586705	120987	7325	26.130518740954333	6.869481259045668	0.0033601446568311596	0.014590324975979806	0.23029950754099024
ABCA5	chr17:67240575-67323323	61950	8046	905.1931332515462	1542.8068667484536	0.22732572834786058	2.983184996340797	0.07620235708703968
ABCA6	chr17:67074846-67138015	57873	5296	149.38416424832454	57.61583575167544	0.04015847544686338	0.16925540281191978	0.2372655453219909
ABCA7	chr19:1040101-1065570	18651	6818	351.972788114442	2848.0272118855587	0.29359970676921016	6.498839161145782	0.045177253889361814
ABCA8	chr17:66863427-66951533	82102	5708	9.303571428571429	1.6964285714285714	0.0017629687365413199	0.004623813035653891	0.3812802816522195
ABCA9	chr17:66970772-67057136	80063	6301	62.70205872881697	22.29794127118303	0.012184244135384475	0.05505590917680035	0.22130674649758963
ABCB1	chr7:87133178-87342639	204745	4716	684.2299203485084	388.7700796514917	0.051992105795175866	1.2825304598804608	0.040538690831578246
ABCB10	chr1:229652328-229694442	38257	3857	1380.1927527371247	2268.807247262875	0.5612773060428107	9.151591222588417	0.06133111634809888
ABCB11	chr2:169779448-169887833	103610	4775	19.0	2.0	0.002852992161414333	0.006516363027702155	0.4378197085223435
ABCB4	chr7:87031360-87105019	69671	3826	310.72088603514214	115.27911396485784	0.06938523343564802	0.4687640689244995	0.1480173887790521
ABCB5	chr7:20655244-20796637	10805	726	0.0	0.0	0.0	0.0	NA
ABCB6	chr2:220074487-220083712	6207	3018	46.76915039313263	313.23084960686737	0.1172266586709372	1.6147078038235574	0.07259930149179289
ABCB7	chrX:74273006-74376175	100641	2327	2719.8251011375864	642.1748988624141	0.4204503180358931	4.293441935639733	0.09792849754080696
ABCB8	chr7:150725508-150744869	14626	4296	165.21846008743842	254.78153991256153	0.17574446343691422	0.9226826126163938	0.19047119890832942
ABCB9	chr12:123405497-123451056	31045	2032	53.1402218719096	39.756013655305644	0.026630563143900072	0.3043881763339127	0.08748882254442907
ABCC1	chr16:16043433-16236930	186934	6563	2854.63260665444	1259.3673933455598	0.23758038089339825	2.9853736248200384	0.07958145637724653
ABCC10	chr6:43395291-43418163	13587	4652	278.5900809197811	751.4099190802187	0.31900003101248503	2.5129616958580026	0.12694185969419186
ABCC11	chr16:48200821-48269088	60499	4416	12.0	1.0	0.0030858989527705705	0.0035230563244200395	0.8759153043851965
ABCC12	chr16:48116883-48180681	58630	5168	4.0	0.0	0.001061423621261395	0.0	inf
ABCC13	chr21:15646119-15673692	16775	712	12.313655761024183	437.6863442389759	0.011420184774340553	9.563825741991492	0.0011941021388750762
ABCC2	chr10:101542354-101611949	64149	5446	315.38393335587676	272.61606664412335	0.07648888422747033	0.7787937572772088	0.09821455746498028
ABCC3	chr17:48712217-48769063	31186	1780	0.0	0.0	0.0	0.0	NA
ABCC4	chr13:95672082-95953687	202600	2654	1407.3154587717652	1999.684541228235	0.10806888443707548	11.722202565004233	0.009219161999444296
ABCC5	chr3:183637723-183735727	32214	756	1106.757599291635	467.2424007083651	0.5345108304714603	9.615438674695769	0.05558881383936154
ABCC5-AS1	chr3:183724125-183729207	4613	469	0.0	0.0	0.0	0.0	NA
ABCC6	chr16:16243421-16317328	1567	256	21.578231292517007	8.421768707482993	0.21423750336768374	0.5118138050078379	0.41858484720708716
ABCC6P1	chr16:18582569-18609607	24314	2724	2.0	0.0	0.0012797414435007728	0.0	inf
ABCC6P2	chr16:14916288-14918559	1565	706	0.0	0.0	0.0	0.0	NA
ABCC8	chr11:17414431-17498392	68954	4921	5.0	0.0	0.0011281301105547828	0.0	inf
ABCC9	chr12:21950323-22089628	126851	4532	0.0	0.0	0.0	0.0	NA
ABCD1	chrX:152990322-153010216	16230	3664	354.055775129416	376.9442248705839	0.33939216643127784	1.6005538120784368	0.21204670775208248
ABCD2	chr12:39945021-40013843	63481	5341	2390.589867442249	941.4101325577504	0.585881744632373	2.742236717621631	0.213651046558998
ABCD3	chr1:94883932-94984219	59361	786	2515.03291850554	219.96708149445942	0.6591604119304424	4.353953613517017	0.15139353113089066
ABCD4	chr14:74751979-74769767	14631	3029	282.0356998030991	305.9643001969009	0.29990156028091264	1.5715208015746578	0.19083524696613144
ABCE1	chr4:146019155-146050676	27327	4191	686.8170720993627	1225.1829279006372	0.3910189239148919	4.548120126780081	0.08597374585875779
ABCF1	chr6:30539169-30559309	15323	3350	148.00097817252282	1141.3644592631313	0.1502690135135023	5.30063853068592	0.028349228615303635
ABCF2	chr7:150904922-150924460	11195	2122	189.7048485795772	457.2951514204229	0.26363495013267124	3.3527399418916652	0.07863268690739089
ABCF3	chr3:183903862-183911795	5361	2572	116.65858489612576	712.3414151038743	0.3385474507808779	4.308894706222924	0.0785694415535256
ABCG1	chr21:43619798-43717354	74351	2811	5685.705117827033	2685.2948821729647	1.1897238530246694	14.86208667349661	0.08005092953375723
ABCG2	chr4:89011415-89152474	64165	3947	90.02923076923076	587.9707692307692	0.02182900759803678	2.317593480995475	0.009418825077407697
ABCG4	chr11:119019749-119033374	9465	3511	0.0	0.0	0.0	0.0	NA
ABCG5	chr2:44039610-44065958	23608	2740	5.8500000000000005	2.1500000000000004	0.003855185863374176	0.012207775900209354	0.31579756172523304
ABCG8	chr2:44066102-44105605	36838	2665	4.0	0.0	0.0016893226264877458	0.0	inf
ABHD1	chr2:27346656-27353680	5578	1446	32.49994896307666	18.50005103692334	0.09064687157720769	0.19904592220118902	0.4554068255946727
ABHD10	chr3:111697722-111712215	11687	2458	570.9234132054876	410.07658679451254	0.7600172695079963	2.595564028500735	0.29281391680674584
ABHD11	chr7:73150424-73153190	1121	1270	12.968950794685599	102.0310492053144	0.17998979449282276	1.2499057985567077	0.14400268780308143
ABHD12	chr20:25275378-25371618	88662	1436	1012.163155617029	140.83684438297098	0.17760764334856588	1.5258452740599577	0.11639951072888852
ABHD12B	chr14:51338877-51371688	31103	1477	1151.4580636729436	157.54193632705645	0.5759628822086961	1.6594506245438339	0.34708045764665185
ABHD13	chr13:108870762-108886603	10539	5302	1979.2254100808061	1123.7745899191937	2.921759767976311	3.297525295032846	0.8860462033081108
ABHD14A	chr3:52009041-52015216	5067	1108	0.0	0.0	0.0	0.0	NA
ABHD14A-ACY1	chr3:52009041-52023218	12298	1879	20.0	0.0	0.02530137701844023	0.0	inf
ABHD14B	chr3:52002525-52008646	3684	2004	63.48101581530877	214.51898418469122	0.2680852361027148	1.6653927349097863	0.16097418373644873
ABHD15	chr17:27887688-27894042	2999	3355	113.16834901339489	717.831650986605	0.5870798377569323	3.3287312274413954	0.1763674498310838
ABHD16A	chr6:31654725-31671137	13855	1684	499.71855168909855	2269.2814483109014	0.5611353044445947	20.965002896984114	0.026765333980722505
ABHD17A	chr19:1876974-1885518	6828	1563	1330.84680833853	2283.153191661469	3.0323770852409	22.726090159485665	0.13343153459132137
ABHD17B	chr9:74477367-74526148	42977	1457	1526.4904814260033	556.5095185739963	0.5525946238229174	5.942397458968633	0.09299186525951869
ABHD17C	chr15:80987651-81047962	57951	2360	192.56269592476485	29.43730407523511	0.051696349191042636	0.19405939906259442	0.2663944619057994
ABHD2	chr15:89631380-89745591	105078	8735	9995.005527300184	5500.994472699815	1.479857479162803	9.797763460963857	0.15104033538458395
ABHD3	chr18:19230857-19284766	47071	2064	6262.377562020494	1906.4582364320631	2.0698290326412296	14.37031387752624	0.14403506077054024
ABHD4	chr14:23067146-23081265	11610	2509	258.48769922184186	915.5123007781583	0.34638279509913444	5.676912151582749	0.061016056942604154
ABHD5	chr3:43732374-43764217	26490	5353	3312.9893450425266	4038.010654957475	1.9457486241640258	11.735966694959744	0.16579363888274054
ABHD6	chr3:58223258-58280461	54810	2393	466.7996612252568	198.20033877474327	0.13250106875265955	1.2885769102430413	0.1028274429716952
ABHD8	chr19:17402939-17414282	9253	2090	94.13935202055806	153.86064797944192	0.15828410090658857	1.145328116274537	0.13819978629481894
ABI1	chr10:27035524-27150016	110716	3188	12500.49459547035	4441.505404529654	1.756569998317034	21.675071230530587	0.08104102540815662
ABI2	chr2:204192961-204296896	58763	6038	540.1972963423184	642.8027036576816	0.14302010676446106	1.6562780152666097	0.08635030196994992
ABI3	chr17:47287588-47300587	10890	2091	0.0	0.0	0.0	0.0	NA
ABI3BP	chr3:100468178-100712334	239683	4473	1165.7961900095913	103.20380999040856	0.07567179761232425	0.35895952638677586	0.21080871811377566
ABL1	chr9:133589267-133763062	46844	5306	458.1028130664111	294.8971869335889	0.1521449835317468	0.8646732732951264	0.17595661648237085
ABL2	chr1:179068461-179198819	30593	1431	0.0	0.0	0.0	0.0	NA
ABLIM1	chr10:116190868-116444414	88873	6488	7663.258725935023	5330.741274064973	1.341505010545834	12.782782948473159	0.10494624026343732
ABLIM2	chr4:7967036-8160559	62734	685	77.34586466165413	3.654135338345865	0.01918150902419936	0.08299323780383627	0.23112134833848735
ABLIM3	chr5:148521053-148639999	114611	4335	27.66331125430974	178.33668874569028	0.00375514328120202	0.640029877623476	0.005867137476683765
ABO	chr9:136130562-136150630	18489	1579	70.61134598667054	4.388654013329469	0.05941686299005527	0.04324121268194138	1.3740794789242636
ABR	chr17:906757-1090616	24729	3351	408.1524371685871	818.8475628314129	0.2567819489189284	3.801695109287898	0.06754406693256017
ABRA	chr8:107771710-107782472	8008	2754	48.45695364238411	38.54304635761589	0.09414140909045493	0.2177362568610098	0.432364413936579
ABRACL	chr6:139349818-139364439	13776	845	437.99637232728844	348.00362767271173	0.49464774161415787	6.407309657081108	0.07720053627617209
ABT1	chr6:26597170-26600277	844	2263	31.091878304441018	1043.9081216955585	0.5731300289213712	7.176726132955002	0.07985953738566114
ABTB1	chr3:127391780-127399769	5967	1941	802.5567550572503	4887.4432449427495	2.092513978466874	39.17462456282507	0.05341503592742977
ABTB2	chr11:34172533-34379555	202119	4903	1849.9273600990746	201.07263990092522	0.1423954741004862	0.6380279993314704	0.22318060375044518
AC093375.1	chr2:156877046-157111432	232590	1746	2094.2600995975163	30.739900402483116	0.14008390219544778	0.27390935665432153	0.5114243043994884
ACAA1	chr3:38164200-38178733	12546	1497	1202.3861345336513	1037.6138654663487	1.4910332471011556	10.783571378770894	0.13826896440232056
ACAA2	chr18:47309873-47340251	28444	1934	493.95366996712704	551.0463300328729	0.2701744012722242	4.432822032906153	0.06094862353296376
ACACA	chr17:35441926-35766902	205029	9138	1991.2557269919066	724.744273008093	0.1510985843972935	1.2339066069807993	0.12245544641908603
